Attraction,Address,Rank,Rating,Number_of_Reviews,Type,Label,Overview,
USS Midway Museum,,1,,,Bleisure,Specialty Museums,Located in downtown San Diego| the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today| the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...more,
La Jolla Cove,1100 Coast Blvd| La Jolla| San Diego| CA 92037-3600,1,4.5,13458,Bleisure,Beaches| Parks,San Diego's most desirable spot for swimming| diving and snorkeling. The water is calm and the cove is ecologically protected. There is also a world famous dive site that is located in the La Jolla ecological preserve.,
San Diego Zoo,2929 Zoo Drive Balboa Park| San Diego| CA 92101,4,4.5,27747,Bleisure,Zoos,The world famous San Diego Zoo is a non-profit wildlife sanctuary home to more than 3|500 rare and endangered animals representing more than 650 species and subspecies| and a prominent botanical collection with more than 700|000 exotic plants. It...more,
Mt. Soledad National Veterans Memorial,6905 La Jolla Scenic Drive South| La Jolla| San Diego| CA 92037,2,None,2448,Bleisure,Historic Sites| Points of Interest & Landmarks| Monuments & Statues,Mt. Soledad National Veterans Memorial,
Balboa Park,1549 El Prado| San Diego| CA 92101-1660,3,4.5,12855,Bleisure,Parks| Gardens| Playgrounds,One of the most popular urban parks in the United States| this bucolic paradise is packed with an array of attractions| including the world-famous San Diego Zoo.,
La Jolla Shores Park,8300 Camino del Oro| La Jolla| San Diego| CA 92037,7,4.5,2695,Bleisure,Beaches| Parks,Mile-long beach features gentle waves during the summer months| making this spot a prime spot for novice scuba divers.,
Torrey Pines Gliderport,2800 Torrey Pines Scenic Dr| La Jolla| San Diego| CA 92037-1004,3,None,1437,Bleisure,Educational sites,Torrey Pines Gliderport,
Children's Pool,850 Coast Blvd| La Jolla| San Diego| CA 92037-4254,10,4.5,1341,Bleisure,Beaches,It was supposed to be a children's pool| but the harbor seals took over and it's a main tourist and local attraction. Great picture spot.,
Sunset Cliffs Natural Park,1253 Sunset Cliffs Blvd| San Diego| CA 92107-4015,10,None,2074,Bleisure,Parks,Sunset Cliffs Natural Park,
Birch Aquarium at Scripps,2300 Expedition Way Scripps Institute| La Jolla| San Diego| CA 92037,13,4.5,1897,Bleisure,Natural History Museums| Aquariums,Birch Aquarium at Scripps is the public exploration center for the world-renowned Scripps Institution of Oceanography at UC San Diego. Perched on a bluff overlooking the Pacific Ocean| the aquarium features more than 60 habitats of fishes and...more,
Chihuly Garden and Glass,305 Harrison Street| Seattle| WA 98109-4623,1,5,24249,Bleisure,Art Galleries| Art Museums,Located in the heart of Seattle| Chihuly Garden and Glass provides a look at the inspiration and influences that inform the career of artist Dale Chihuly. Through the exhibition’s eight interior galleries| lush outdoor garden and centerpiece...more,
The Museum of Flight,9404 East Marginal Way South| Seattle| WA 98108-4046,4,4.5,6672,Bleisure,Specialty Museums,Walk the aisle of JFK's Air Force One and climb aboard the West Coast's only Concorde. Revel in the history and heroics of WWI and WWII. Barrel-roll a Mustang| land on the moon| and soar over Puget Sound in a simulator. Experience the excitement...more,
Pike Place Market,1st Ave & Pike St Between Pike and Pine Sts. and First Ave| Seattle| WA 98101,2,4.5,21509,Bleisure,Farmers Markets,One of the few authentic farmer's markets in the United States| this hub of delicious scents| delectable eats and delightful personalities attracts nine million visitors a year.,
Washington State Ferries,801 Alaskan Way Pier 52| Seattle| WA 98104-1410,10,None,8462,Bleisure,Ferries,Washington State Ferries,
Kerry Park,250 W Highland Dr Queen Ann Hill| Seattle| WA 98119-3529,8,4.5,3408,Bleisure,Parks,For one of the best views of Seattle head to Kerry Park| a small park located on the south side of Queen Anne Hill. A photo from here is Seattle postcard-perfect| featuring ferries crossing Elliott Bay| the city skyline with the Space Needle in...more,
Sky View Observatory,700 4th Ave 73rd floor| Columbia Center| Seattle| WA 98104-7097,12,4.5,2537,Bleisure,Architectural Buildings| Observation Decks & Towers,Private View Packages Now Available! Experience Sky View Observatory exclusively for 1-Hour for yourself and up to 4 people - 5 People total! * Temporarily Closed for General Admission.* Sky View Observatory in downtown Seattle is the ideal first...more,
Hiram M. Chittenden Locks,3015 NW 54th St| Seattle| WA 98107-4213,13,4.5,3195,Bleisure,Bodies of Water| Points of Interest & Landmarks| Piers & Boardwalks,The Hiram M. Chittenden Locks (locally known as the Ballard Locks) is a waterway system that connects the saltwater of the Puget Sound to the fresh water of the Ship Canal| which sits about 20 feet above sea level. Boats enter the locks| the gates...more,
Woodland Park Zoo,5500 Phinney Ave N| Seattle| WA 98103-5897,39,4.5,2040,Bleisure,Zoos,Nationally award-winning Woodland Park Zoo is a 92-acre zoological garden dedicated to the conservation of wildlife. Featuring more than 1|000 animals representing nearly 300 species from around the world| a visit to Woodland Park Zoo will make...more,
T-Mobile Park,1250 1st Ave S| Seattle| WA 98134-1216,14,None,4349,Bleisure,Arenas & Stadiums,T-Mobile Park,
Space Needle,400 Broad Street| Seattle| WA 98109-4607,3,4.5,19048,Bleisure,Points of Interest & Landmarks| Observation Decks & Towers,Seattle’s “must see” is now a “must do” following the Space Needle’s multimillion-dollar renovation. Glide onto The Loupe| the world’s first and only rotating glass floor| for never-before-seen views of the structure and the city. Lean into...more,
Fenway Park,,1,,,Bleisure,Arenas & Stadiums,"Hallowed ground to baseball purists| this cozy| quirky park has been the Boston Red Sox home field since 1912. The most distinctive feature of this classic baseball park is the 37-foot-tall left field wall| known as the ""Green Monster.""",
