Attraction,Address,Rank,Rating,Number_of_Reviews,Type,Label,Overview,
Wild Horse Renewable Energy Center,25905 Vantage Hwy| Ellensburg| WA 98926-5088,1,5,132,Romantic,Points of Interest & Landmarks,Due to the heightened level of caution regarding Coronavirus| the Renewable Energy Center will remain closed for the duration of 2020| however visitors can continue to explore the outdoor exhibits. Recreation at Wild Horse with a current...more,
Iron Horse Brewery,416 N Main St| Ellensburg| WA 98926-3108,2,5,85,Romantic,Breweries,Iron Horse Brewery,
Dick and Jane's Spot,101 N Pearl St| Ellensburg| WA 98926-3324,3,5,63,Romantic,Points of Interest & Landmarks,Dick and Jane's Spot,
Irene Rhinehart Riverfront Park,Umptanum Road| Ellensburg| WA 98926,7,5,13,Romantic,Parks,Irene Rhinehart Riverfront Park,
Kittitas County Historical Museum,114 E 3rd Ave| Ellensburg| WA 98926-3346,4,4.5,43,Romantic,Specialty Museums,Housed in the historic 1889 Cadwell Building| the Kittitas County Historical Museum features many exhibits for the public to enjoy| spanning the history of Kittitas County from the distant past to the modern day. Exhibit highlights include Native...more,
Whipsaw Brewing,704 N Wenas St| Ellensburg| WA 98926-2862,5,4.5,29,Romantic,Breweries,Whipsaw Brewing,
Clymer Museum of Art,416 N Pearl St| Ellensburg| WA 98926-3112,6,4.5,20,Romantic,Art Museums,Clymer Museum of Art,
Umtanum Canyon Trail,416 N Pearl St| Ellensburg| WA 98926-3112,8,4.5,17,Romantic,Nature & Wildlife Areas| Hiking Trails,Umtanum Canyon Trail,
Olmstead Place State Park,921 N Ferguson Rd| Ellensburg| WA 98926-8109,9,4.5,16,Romantic,State Parks| Parks,Olmstead Place State Park,
Wild Horse Wind & Solar Facility,25901 Vantage Hwy| Ellensburg| WA 98926-5088,11,4.5,5,Romantic,Points of Interest & Landmarks,Wild Horse Wind & Solar Facility,
Gard Vintners,311 Pearl St| Ellensburg| WA 98926,10,4.5,12,Romantic,Wineries & Vineyards,Wine tasting room for highly acclaimed Gard Vintners| also featuring wines by the glass| craft beer| artisan food| gifts| live music| events and more. Estate grown on the nearby Royal Slope of the Columbia Valley| with wines made by Aryn Morell at...more,
Wild Goose Casino,1600 N Currier St| Ellensburg| WA 98926-8345,12,4.5,16,Romantic,Casinos,Wild Goose Casino,
