Attraction,Address,Rank,Rating,Number_of_Reviews,Type,Label,Overview
North Carolina Museum of Natural Sciences,11 W Jones St| Raleigh| NC 27601-1029,1,4.5,2283,Weekend Getaway,Natural History Museums| Science Museums,The Southeast's largest natural history museum features dinosaurs| whale skeletons| live animals| walk-through dioramas| special exhibits| hands-on science education and accessible scientists. IMLS National Medal Finalist| 2014.
North Carolina Museum of Art,2110 Blue Ridge Rd| Raleigh| NC 27607-6433,5,4.5,1789,Weekend Getaway,Art Museums,One of the leading art museums in the American South| the North Carolina Museum of Art (NCMA) recently completed a major| three-year expansion that places it in the front ranks of museums nationwide. The NCMA offers a permanent collection spanning...more
Pullen Park,408 Ashe Ave| Raleigh| NC 27606-2149,3,4.5,1280,Weekend Getaway,Parks,Richard Stanhope Pullen founded Pullen Park on March 22| 1887. Once farmland| Mr. Pullen donated the land as a gift to the City of Raleigh to be used as parkland. He characterized it as on old cow pasture| red and rocky. He intended this land to...more
Marbles Kids Museum,201 E Hargett St| Raleigh| NC 27601-1437,6,4.5,1100,Weekend Getaway,Science Museums| Children's Museums| History Museums,Marbles Kids Museum is a hands-on| interactive destination that inspires children to be creative thinkers| active learners and confident individuals in today's world. With five galleries and two outdoor escapes| there is no shortage of activity...more
North Carolina Museum of History,5 E Edenton St| Raleigh| NC 27601-1011,4,4.5,899,Weekend Getaway,Specialty Museums,Explore more than 14|000 years of North Carolina history| from the state's earliest inhabitants through the 20th century. The major exhibition The Story of North Carolina features fascinating artifacts| multimedia presentations| and an interactive...more
Umstead State Park,8801 Glenwood Ave| Raleigh| NC 27617-7501,8,4.5,455,Weekend Getaway,State Parks| Nature & Wildlife Areas,Sandwiched between downtown Raleigh and the airport| this oasis of green features a stand of 300+ year-old hardwood trees| more than 32 miles of hiking| biking and horseback riding trails| camp sites and lots more for nature lovers.
Historic Yates Mill County Park,4620 Lake Wheeler Rd| Raleigh| NC 27603-3912,11,4.5,266,Weekend Getaway,Historic Sites| Points of Interest & Landmarks| Parks,Yates Mill is the last operating| water-powered gristmill in NC's capital county. The 18th century mill was restored| and the 174-acre park developed| through a partnership among the County of Wake| Yates Mill Associates| and NC State University....more
JC Raulston Arboretum at NC State University,4415 Beryl Rd| Raleigh| NC 27606-1457,7,4.5,348,Weekend Getaway,Nature & Wildlife Areas| Gardens,Part of the North Carolina State University| this eight-acre garden contains a wide variety of cold hardy temperate zone plants.
State Farmers Market,1201 Agriculture St| Raleigh| NC 27603-2366,10,4.5,293,Weekend Getaway,Flea & Street Markets,Seven days a week| serious food connoisseurs and regular folks| carefully pick through mounds of gorgeously presented fresh local produce at this popular open market| which is owned by the State of North Carolina.
Neuse River Trail,Raleigh| NC,2,4.5,243,Weekend Getaway,Hiking Trails,Neuse River Trail
